streetAddress,lat,lon,Средний доход,Средняя стоимость ЖКУ,age_до 24 лет,age_25_34 лет,age_35_44 лет,age_45_54 лет,age_55_64 лет,age_от 65 лет,мужчины,женщины,С детьми,С животными,С автомобилем,link
"Первомайская улица, 92",55.792604,37.807898,117941.0,10561.0,10.25,16.85,29.9,21.73,13.09,8.17,45.29,54.71,31.37,27.11,40.05,https://domclick.ru/card/sale__flat__2067252834
"улица Авиаконструктора Миля, 11 к2",55.682874,37.857953,120839.0,12414.0,14.38,26.02,27.32,15.65,12.04,4.59,50.79,49.21,30.03,24.91,46.91,https://domclick.ru/card/sale__flat__2067252948
"Измайловское шоссе, 6",55.779089,37.721687,88939.0,7652.0,8.7,15.11,22.58,23.32,20.11,10.18,45.81,54.19,21.67,16.34,23.56,https://domclick.ru/card/sale__flat__2067255680
"улица Авиаторов, 30",55.641695,37.410516,103548.0,13536.0,10.6,21.2,30.14,20.82,12.64,4.6,46.62,53.38,35.38,24.78,46.49,https://domclick.ru/card/sale__flat__2067259886
"Доброслободская улица, 14 к2",55.766151,37.674059,132950.0,9876.0,12.82,25.48,28.94,18.37,9.71,4.68,48.87,51.13,25.65,20.28,40.73,https://domclick.ru/card/sale__flat__2067261838
"Севастопольский проспект, 15 к2",55.682111,37.599317,107454.0,9934.0,13.37,21.29,28.79,18.5,11.83,6.22,54.63,45.37,25.59,19.81,42.8,https://domclick.ru/card/sale__flat__2067264091
"Стартовая улица, 7",55.886692,37.703902,104479.0,10610.0,9.49,17.01,30.56,21.13,13.84,7.97,51.47,48.53,31.98,23.16,47.18,https://domclick.ru/card/sale__flat__2067314948
"бульвар Братьев Весниных, 1",55.698174,37.639992,161472.0,12196.0,13.0,23.77,39.35,15.97,5.66,2.26,67.6,32.4,25.96,13.35,49.91,https://domclick.ru/card/sale__flat__2067350377
"Филёвский бульвар, 15",55.763842,37.482395,129919.0,7942.0,7.66,17.43,38.51,20.88,8.62,6.9,55.94,44.06,30.65,24.71,58.43,https://domclick.ru/card/sale__flat__2067390444
"Илимская улица, 10",55.890214,37.583288,101294.0,10321.0,12.37,18.15,28.37,23.95,11.26,5.9,45.99,54.01,28.37,22.02,39.78,https://domclick.ru/card/sale__flat__2067399168
"Планетная улица, 29",55.802199,37.544872,116633.0,12599.0,9.16,17.44,28.01,22.98,13.76,8.65,50.04,49.96,25.05,22.81,44.5,https://domclick.ru/card/sale__flat__2067399719
"Лазурная улица, 6",55.569284,37.471959,140493.0,8732.0,6.08,20.54,34.76,22.35,11.18,5.09,40.76,59.24,35.99,22.43,46.18,https://domclick.ru/card/sale__flat__2067403235
"Россошанский проезд, 4 к3",55.598711,37.604897,103258.0,9811.0,11.19,23.29,28.01,21.18,11.19,5.14,57.79,42.21,26.21,20.72,54.6,https://domclick.ru/card/sale__flat__2067410197
"Илимская улица, 1в к3",55.89083,37.572021,93492.0,5275.0,45.07,16.9,23.94,8.45,5.63,,56.34,43.66,28.17,18.31,28.17,https://domclick.ru/card/sale__flat__2067412867
"улица Богданова, 42",55.651889,37.395669,122606.0,8947.0,6.9,15.26,27.25,20.86,17.24,12.49,31.88,68.12,34.26,27.76,40.08,https://domclick.ru/card/sale__flat__2067473840
"микрорайон В, 50",55.491083,37.298395,116233.0,10076.0,8.11,20.38,32.85,22.1,11.36,5.2,66.2,33.8,30.99,21.63,77.7,https://domclick.ru/card/sale__flat__2067475691
"Куприна проспект, 30 к1",55.540612,37.459702,117764.0,11162.0,11.55,30.67,33.16,15.69,6.39,2.55,58.38,41.62,29.72,16.1,54.47,https://domclick.ru/card/sale__flat__2067503969
"Куприна проспект, 32 к1",55.540634,37.458699,117764.0,11162.0,11.55,30.67,33.16,15.69,6.39,2.55,58.38,41.62,29.72,16.1,54.47,https://domclick.ru/card/sale__flat__2067506752
"Красноказарменная улица, 14а к4",55.751724,37.707061,145422.0,14036.0,14.87,24.76,30.33,18.44,8.34,3.26,61.2,38.8,24.71,17.21,53.41,https://domclick.ru/card/sale__flat__2067510682
"улица Крузенштерна, 7",55.753295,37.697314,147420.0,15389.0,16.36,25.34,31.25,16.02,7.79,3.24,58.93,41.07,25.69,17.41,45.7,https://domclick.ru/card/sale__flat__2067553442
