id,building_id,address,lat,lon,building_floors,material,accessible_entrance,temporary_closed,created_at,updated_at,hours_per_day,branch_count,branches_in_moll,country,region,district_area,city,living_area,title,content,extension,rating,rating_cnt,parking,free_parking,payed_parking,nearest_station,nearest_station_type,nearest_station_d,count_stations,all_stations,district
4504127913618343_6rj5hg62dBdB9A829J7H2J2J1GIIGHG3edom5yDl39-c17d043841BBI24649365-d8d5048B995J28A3763247A5ABI5HJIf8i3b78B8d33G4G148241279H47J2H3AG4969C03,4504235282553804,"Алтуфьевское шоссе, 8",55.852849,37.585773,4.0,Железобетон,"Пандус, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2026-01-14,12.0,1,89.0,Россия,Москва,,Москва,,Алтуфьевский,"Аренда помещений,Торгово-развлекательные центры",торгово-развлекательный центр,4.4,42.0,231,81,150,Владыкино,['metro'],850.0,3,"{'Владыкино': {'distance': 850, 'comment': 'Серпуховско-Тимирязевская линия', 'route_types': ['metro']}, 'Окружная': {'distance': 1300, 'comment': 'D1 Белорусско-Савёловский диаметр', 'route_types': ['suburban_train', 'aeroexpress', 'mcd']}}",Отрадное
70000001109954405_6rj5hg62dBdB9A829J7H2J2JH0IIGHGJedom5yDl39-c17d043841BBI219C6462-d8d5048B995J28A3763247AA5BBJ3JIf8i3b78B8d33G4G1732000016H68I1I20J1B4C9g0,70030077013298694,"улица Уточкина, 3",55.472716,37.528116,2.0,Железобетон,,opening_soon,,2026-03-11,,1,,Россия,Москва,,Москва,,Алхимово,Торгово-развлекательные центры,торгово-развлекательный центр,,,0,0,0,Алхимовская,['bus'],280.0,1,"{'Алхимовская': {'distance': 280, 'comment': None, 'route_types': ['bus']}}",Щербинка
70000001007518696_xxA8s8ucdBdB9A826J7H3J2JH0IIGHGJqsnhy59A39-c17d04384228I1178288B-d8d5048B995J28A37632481A5BBJ3JIf8i3b78B8d33G4G1732000017H7BI1I20J1B4C9gc,4504235295673033,"улица Говорова, 163",55.690842,37.303697,3.0,Кирпич,"Пандус, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2026-01-14,12.0,1,82.0,Россия,Московская область,Одинцовский городской округ,Одинцово,,Атлас,Торгово-развлекательные центры,торговый центр,4.8,11.0,211,211,0,Баковка,"['suburban_train', 'aeroexpress', 'mcd']",1200.0,1,"{'Баковка': {'distance': 1200, 'comment': 'D1 Белорусско-Савёловский диаметр', 'route_types': ['suburban_train', 'aeroexpress', 'mcd']}}",
4504127908387594_xxA8s8ucdBdB9A826J7H3J2J1GIIGHG3qsnhy59A39-c17d04384228I193B85B6-d8d5048B995J28A376324815ABI5HJIf8i3b78B8d33G4G148241279H5CJ2H3AG4969C43,4504235282678137,"улица Земляной Вал, 33",55.757514,37.658786,6.0,Железобетон,"Пандус, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-11-14,13.0,1,221.0,Россия,Москва,,Москва,,Атриум,"Аренда помещений,Торгово-развлекательные центры",торгово-развлекательный комплекс,4.7,712.0,596,1,595,Курская,['metro'],130.0,3,"{'Курская': {'distance': 130, 'comment': 'Арбатско-Покровская линия', 'route_types': ['metro']}, 'Чкаловская': {'distance': 180, 'comment': 'Люблинско-Дмитровская линия', 'route_types': ['metro']}}",Басманный
70000001081254969_xxA8s8ucdBdB9A826J7H3J2JH0IIGHGJqsnhy59A39-c17d04384228I191564B8-d8d5048B995J28A37632481A5BBJ3JIf8i3b78B8d33G4G173200001AH83I1I20J1B4C950,4504235283379092,"улица Народное имение, 1а",55.572302,38.231735,5.0,Железобетон,"Пандус, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2025-09-08,13.0,1,36.0,Россия,Московская область,Раменский муниципальный округ,Раменское,2-й м-н,Атриум,Торгово-развлекательные центры,торговый центр,4.6,8.0,0,0,0,Раменское,"['suburban_train', 'mcd']",1000.0,3,"{'Раменское': {'distance': 1000, 'comment': 'D3 Ленинградско-Казанский диаметр', 'route_types': ['suburban_train', 'mcd']}, 'Ипподром': {'distance': 1800, 'comment': 'D3 Ленинградско-Казанский диаметр', 'route_types': ['suburban_train', 'mcd']}, 'Фабричная': {'distance': 1900, 'comment': 'D3 Ленинградско-Казанский диаметр', 'route_types': ['suburban_train', 'mcd']}}",Центральный район
4504128908371882_xxA8s8ucdBdB9A826J7H3J2J1GIIGHG4qsnhy59A39-c17d04384228I193A28A4-d8d5048B995J28A376324815ABI5HJIf8i3b78B8d33G4G148241289H64J3H3AG4969C66,4504235283115605,"Новорязанское шоссе, 8",55.660805,37.879855,5.0,Железобетон,"Туалет для маломобильных людей, Доступный вход для людей с инвалидностью",,,2026-03-10,12.0,1,174.0,Россия,Московская область,Котельники городской округ,Котельники,,Аутлет Белая Дача,"Торгово-развлекательные центры,Торговые центры",торговый центр,4.8,291.0,1204,1204,0,Администрация г. Котельники,"['bus', 'shuttle_bus']",480.0,1,"{'Администрация г. Котельники': {'distance': 480, 'comment': None, 'route_types': ['bus', 'shuttle_bus']}}",
4504286822144966,,,55.660757,37.880013,,,,,,,,,,Россия,Московская область,Котельники городской округ,Котельники,,,,,5.0,2.0,0,0,0,,,,0,{},
4504127911986190_xxA8s8ucdBdB9A826J7H3J2J1GIIGHG3qsnhy59A39-c17d04384228I229B71B2-d8d5048B995J28A376324815ABI5HJIf8i3b78B8d33G4G148241279H65J2H3AG4969C08,4504235282796239,"Пресненская набережная, 2",55.749433,37.540262,7.0,Железобетон,"Широкий лифт, Автоматическая дверь, Доступный вход для людей с инвалидностью",,,2026-01-14,13.285714285714286,1,613.0,Россия,Москва,,Москва,,Афимолл Сити,"Торгово-развлекательные центры,Фонтаны",торгово-развлекательный центр,4.8,1474.0,2702,2,2700,Деловой центр,['metro'],50.0,3,"{'Деловой центр': {'distance': 50, 'comment': 'Солнцевская линия', 'route_types': ['metro']}, 'Москва-Сити': {'distance': 220, 'comment': 'Филёвская линия (до Москва-сити)', 'route_types': ['metro']}}",Пресненский
70000001034965358_xxA8s8ucdBdB9A826J7H3J2JH0IIGHGJqsnhy59A39-c17d04384228I144C7557-d8d5048B995J28A37632481A5BBJ3JIf8i3b78B8d33G4G1732000019H86I1I20J1B4C9e5,70030076145456071,"Барклая улица, 10",55.743426,37.499343,2.0,Железобетон,"Пандус, Подъёмник, Широкий лифт, Туалет для маломобильных людей, Автоматическая дверь, Доступный вход для людей с инвалидностью",,2018-12-08,2026-02-15,12.0,1,161.0,Россия,Москва,,Москва,,Багратионовский,"Аренда помещений,Торгово-развлекательные центры",торгово-развлекательный центр,4.7,60.0,301,1,300,Багратионовская,['metro'],100.0,3,"{'Багратионовская': {'distance': 100, 'comment': 'Филёвская линия', 'route_types': ['metro']}, 'Фили': {'distance': 1100, 'comment': 'Филёвская линия', 'route_types': ['metro']}, 'Филёвский парк': {'distance': 1200, 'comment': 'Филёвская линия', 'route_types': ['metro']}}",Филёвский парк
70000001063729126_xxA8s8ucdBdB9A826J7H3J2JH0IIGHGJqsnhy59A39-c17d04384228I173A3934-d8d5048B995J28A37632481A5BBJ3JIf8i3b78B8d33G4G1732000017H87I1I20J1B4C9ga,4504235283372592,"улица 3-го Интернационала, 62",55.855839,38.441196,,,,,,2025-10-13,11.0,2,,Россия,Московская область,Богородский городской округ,Ногинск,Центральный м-н,Богородский,"Аренда помещений,Бизнес-центры,Торгово-развлекательные центры",администрация,,,56,56,0,Ногинск,['suburban_train'],600.0,1,"{'Ногинск': {'distance': 600, 'comment': None, 'route_types': ['suburban_train']}}",
