title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Взрослая поликлиника,отделение платных услуг,Взрослые поликлиники; Медицинская диагностика; Медицинские анализы; Гинеколог; Аллерголог-иммунолог; Гериатр; Дерматолог; Кардиолог; Занятия ЛФК; Невролог; Онколог; ЛОР (отоларинголог); Офтальмолог; Профпатолог; Психиатр; Пульмонолог; Рефлексотерапевт; Сурдолог; Терапевт; Травматолог-ортопед; Уролог; Физиотерапевт; Хирург; Эндокринолог; Гастроэнтеролог,"9-я улица Соколиной Горы, 12",,105275.0,Соколиная Гора,Москва,Москва,1.0,1.0,55.773443,37.740338,branch
Детская поликлиника №104,филиал №1,Детские поликлиники,"Большой Козловский переулок, 9",,107078.0,Басманный,Москва,Москва,3.5,2.0,55.767069,37.647445,branch
Поликлиника №107,филиал №3,Взрослые поликлиники,"Ленская улица, 21а",,129327.0,Бабушкинский,Москва,Москва,2.3,3.0,55.867302,37.657624,branch
Мытищинская городская поликлиника №5,,Взрослые поликлиники,"улица Веры Волошиной, 54",,141014.0,,Мытищи,Московская область,2.3,17.0,55.896609,37.712084,branch
Детская городская поликлиника №131,филиал №2,Детские поликлиники,"Мосфильмовская улица, 27а",,119330.0,Раменки,Москва,Москва,4.4,10.0,55.712602,37.514194,branch
Диагностический центр №3,отделение платных услуг,Взрослые поликлиники; Невролог; Физиотерапевт; Уролог; Дерматолог; Медицинская диагностика; Офтальмолог; Кардиолог; Гинеколог; ЛОР (отоларинголог); Гастроэнтеролог; Терапевт; Эндокринолог; Травматолог-ортопед; Проктолог; Профпатолог; Инфекционист; Хирург; Пульмонолог; Ревматолог; Мануальный терапевт; Рефлексотерапевт; Аллерголог-иммунолог; Медицинские анализы,"Юрьевский переулок, 13",8 этаж,111020.0,Лефортово,Москва,Москва,,,55.765196,37.71878,branch
Детская поликлиника №91,,Детские поликлиники,"улица Академика Миллионщикова, 22",,115446.0,Нагатино-Садовники,Москва,Москва,2.0,9.0,55.663782,37.644749,branch
Городская поликлиника №134 Департамента здравоохранения г. Москвы,филиал №4,Взрослые поликлиники,"Новоясеневский проспект, 30 к2",1 этаж,117463.0,Ясенево,Москва,Москва,3.4,5.0,55.603998,37.53561,branch
Городская поликлиника №1,,Взрослые поликлиники,"улица Гагарина, 4",,143960.0,,Реутов,Московская область,1.7,26.0,55.76349,37.859801,branch
Поликлиника №212,филиал №197,Взрослые поликлиники,"Новоорловская улица, 4",,119633.0,Ново-Переделкино,Москва,Москва,1.9,34.0,55.638535,37.365074,branch
Городская поликлиника №134 Департамента здравоохранения г. Москвы,филиал №3,Взрослые поликлиники,"улица Тёплый Стан, 13 к2",,117465.0,Тёплый Стан,Москва,Москва,3.0,19.0,55.623884,37.488853,branch
Детская поликлиника №91,филиал №1,Детские поликлиники,"Речников улица, 5",,115407.0,Нагатинский Затон,Москва,Москва,2.0,16.0,55.686133,37.695264,branch
Поликлиника №121,терапевтическое отделение,Взрослые поликлиники,"Венёвская улица, 27",,117624.0,Южное Бутово,Москва,Москва,2.3,17.0,55.542439,37.5534,branch
Поликлиника №2,,Взрослые поликлиники,"Фруктовая улица, 12",,117556.0,Нагорный,Москва,Москва,4.0,2.0,55.660228,37.614004,branch
Поликлиника,филиал №5,Взрослые поликлиники,"Радужная улица, 7",,108813.0,Филимонковский,Московский,Москва,2.2,20.0,55.591707,37.372939,branch
Поликлиника,отделение платных услуг,Взрослые поликлиники; Медицинская диагностика; Медицинские анализы; Кардиолог; Офтальмолог; Терапевт; Гастроэнтеролог; Эндокринолог; Диетолог; Уролог; Хирург; Гинеколог; Дерматолог; Аллерголог-иммунолог; Невролог; Физиотерапевт; Гирудотерапевт; Проктолог; Вертебролог; Подолог; Пульмонолог,"улица Маршала Федоренко, 6 ст1",4 этаж,125599.0,Западное Дегунино,Москва,Москва,5.0,1.0,55.879989,37.492482,branch
Поликлиника №109,отделение платных услуг,Взрослые поликлиники; Гинеколог; Аллерголог-иммунолог; Гастроэнтеролог; Гериатр; Дерматолог; Инфекционист; Кардиолог; Проктолог; Занятия ЛФК; Мануальный терапевт; Невролог; Онколог; ЛОР (отоларинголог); Офтальмолог; Профпатолог; Психиатр; Пульмонолог; Ревматолог; Терапевт; Травматолог-ортопед; Уролог; Физиотерапевт; Хирург; Эндокринолог; Медицинские анализы; Медицинская диагностика; Вакцинация,"улица Гурьянова, 4 к3",6 этаж,109548.0,Печатники,Москва,Москва,,,55.691898,37.720161,branch
Поликлиника Троицкая,филиал №6,Взрослые поликлиники; Детские поликлиники,"улица Александры Монаховой, 84а",,108803.0,Коммунарка,,Москва,4.0,7.0,55.545682,37.486052,branch
Наша поликлиника,взрослое отделение,Взрослые поликлиники,"Кузьминская улица, 7Б",1 этаж,140054.0,,Котельники,Московская область,2.3,9.0,55.665271,37.86758,branch
Консультативно-диагностический центр №2,,Взрослые поликлиники,"улица Фотиевой, 10",,119333.0,Гагаринский,Москва,Москва,,,55.701881,37.561395,branch
