title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Altameta,стоматологическая клиника,Частные стоматологии,"Грохольский переулок, 30 к1",1 этаж,129090.0,Красносельский,Москва,Москва,4.9,2.0,55.77671,37.640577,branch
American Russian Dental Center,стоматологическая клиника,Частные стоматологии,"Садовая-Кудринская улица, 21а",1 этаж,123001.0,Пресненский,Москва,Москва,5.0,51.0,55.765133,37.589064,branch
Ami clinic,стоматологический центр,Частные стоматологии,"Таганская улица, 26",1 этаж,109147.0,Таганский,Москва,Москва,5.0,139.0,55.739918,37.662504,branch
AmniDent,стоматология,Частные стоматологии; Зуботехнические лаборатории; Челюстно-лицевой хирург; Частные детские стоматологии,"Волков переулок, 21",1 этаж,123242.0,Пресненский,Москва,Москва,5.0,40.0,55.764958,37.573779,branch
Apico. pro,стоматологический центр,Частные стоматологии,"Трубниковский переулок, 13 ст1",2 этаж,121069.0,Арбат,Москва,Москва,4.9,69.0,55.753495,37.586543,branch
Art dent club,стоматологическая клиника,Частные стоматологии; Челюстно-лицевой хирург,"4-я Тверская-Ямская улица, 2/11 ст1",1 этаж,125047.0,Тверской,Москва,Москва,5.0,1.0,55.77174,37.599245,branch
Art Oral,стоматологический бутик,Частные стоматологии; Товары для стоматологий; Зуботехнические лаборатории,"улица Жуковского, 2",1 этаж,101000.0,Басманный,Москва,Москва,5.0,11.0,55.763913,37.644944,branch
Ausdent,стоматологическая клиника,Частные стоматологии,"Ленинский проспект, 16 к1",,119071.0,Донской,Москва,Москва,4.8,5.0,55.718607,37.595062,branch
Avi,стоматологическая клиника,Частные стоматологии,"Бауманская улица, 42",2 этаж,105005.0,Басманный,Москва,Москва,5.0,3.0,55.77089,37.678708,branch
Avroraclinic,клиника стоматологии и косметологии,Частные стоматологии,"улица Шаболовка, 23 к1",1 этаж,119049.0,Якиманка,Москва,Москва,4.9,8.0,55.723148,37.612803,branch
Axdent,стоматология,Частные стоматологии,"проспект Мира, 40",3 этаж,129090.0,Мещанский,Москва,Москва,5.0,27.0,55.780285,37.633983,branch
Beauty line,медицинский центр стоматологии и косметологии,Частные стоматологии,"Никольская улица, 10",2 этаж,109012.0,Тверской,Москва,Москва,4.9,22.0,55.75809,37.624831,branch
Beauty line,медицинский центр стоматологии и косметологии,Частные стоматологии; Косметолог; Эпиляция; Трихолог; Дерматолог,"Люсиновская улица, 53",1 этаж,115093.0,Даниловский,Москва,Москва,4.9,44.0,55.71895,37.623201,branch
Benadent,стоматологическая клиника,Частные стоматологии,"Тихвинская улица, 9",1 этаж,127055.0,Тверской,Москва,Москва,5.0,41.0,55.787265,37.600618,branch
Best smile clinic,стоматология,Частные стоматологии,"проспект Мира, 102 ст34",210 офис; 2 этаж; 2 подъезд,129626.0,Алексеевский,Москва,Москва,5.0,2.0,55.800247,37.637173,branch
Bft-denta,стоматологическая клиника,Частные стоматологии,"Донская улица, 28",1 этаж,115419.0,Донской,Москва,Москва,3.8,4.0,55.718201,37.602993,branch
Bioestetica,стоматологическая клиника доктора Даяна,Частные стоматологии,"Бережковская набережная, 14",1 этаж,121059.0,Дорогомилово,Москва,Москва,5.0,3.0,55.737224,37.563623,branch
