title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Азбука daily,минимаркет,Супермаркеты; Доставка продуктов,"Олимпийский проспект, 30 ст1",1 этаж,129272.0,Мещанский,Москва,Москва,4.3,10.0,55.791036,37.622789,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"Никольская улица, 10",-1 этаж,109012.0,Тверской,Москва,Москва,,,55.758344,37.624462,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"Дубининская улица, 59а",1 этаж,115054.0,Даниловский,Москва,Москва,3.7,3.0,55.718945,37.635564,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"Мантулинская улица, 9 к3",1 этаж,123100.0,Пресненский,Москва,Москва,5.0,1.0,55.754229,37.544959,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"Кутузовский проспект, 32 к1",1 этаж,121170.0,Дорогомилово,Москва,Москва,4.7,13.0,55.741102,37.531104,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"улица Петровка, 19 ст1",1 этаж,107031.0,Тверской,Москва,Москва,4.4,28.0,55.765228,37.61607,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"Страстной бульвар, 6 ст1",1 этаж,125375.0,Тверской,Москва,Москва,4.1,21.0,55.765829,37.608716,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"улица Остоженка, 42/2",1 этаж,119034.0,Хамовники,Москва,Москва,4.4,18.0,55.737396,37.594859,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"улица Верхняя, 20 к1",1 этаж,125040.0,Беговой,Москва,Москва,4.1,13.0,55.77961,37.572724,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"Лялин переулок, 11-13/1 ст2",1 этаж,101000.0,Басманный,Москва,Москва,4.6,9.0,55.758383,37.652719,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"улица Сретенка, 1","цокольный, 1 этаж; вход с торца",107045.0,Мещанский,Москва,Москва,4.6,21.0,55.766623,37.631213,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"Долгоруковская улица, 40",1 этаж,127006.0,Тверской,Москва,Москва,4.5,17.0,55.779217,37.602684,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"Никольская улица, 10",1 этаж,109012.0,Тверской,Москва,Москва,4.6,22.0,55.758365,37.624467,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов; Доставка еды,"улица Пречистенка, 24/1",1 этаж,119034.0,Хамовники,Москва,Москва,4.9,9.0,55.742043,37.59354,branch
Азбука daily,супермаркет,Супермаркеты; Доставка продуктов,"Мытная улица, 7 ст1",1-2 этаж,119049.0,Замоскворечье,Москва,Москва,3.9,10.0,55.721645,37.617654,branch
