title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Пивнушка,ресторан немецкой кухни,Рестораны; Бары,"Ленинский проспект, 28",1 этаж,119071.0,Донской,Москва,Москва,3.7,17.0,55.71334,37.588445,branch
Пивотека 465,бар-магазин,Бары,"Сокольническая площадь, 4а",1 этаж,107113.0,Сокольники,Москва,Москва,4.8,10.0,55.790398,37.678285,branch
Пивотека X-dnk,,Бары,"Ходынская улица, 2 к А",1 этаж,123022.0,Пресненский,Москва,Москва,,,55.770416,37.565102,branch
Пивтрест,кафе-бар,Кафе; Бары,"Мясницкая улица, 46 ст1",1 этаж,101000.0,Басманный,Москва,Москва,4.1,26.0,55.768203,37.644557,branch
Пигги,паб,Кафе; Бары,"улица Солянка, 4 ст4",1 этаж,109240.0,Таганский,Москва,Москва,4.5,26.0,55.753741,37.63724,branch
Пилзнер,чешская пивная,Рестораны; Бары; Доставка еды; Кафе,"1-я Тверская-Ямская улица, 7",1-2 этаж,125047.0,Тверской,Москва,Москва,4.6,104.0,55.771481,37.593131,branch
Пилзнер,чешская пивная,Рестораны; Бары; Доставка еды,"улица Пресненский Вал, 4/29",1 этаж,123022.0,Пресненский,Москва,Москва,4.4,95.0,55.763866,37.56409,branch
Пилзнер,чешская пивная,Рестораны; Бары; Доставка еды; Кафе,"Озерковская набережная, 56",,115054.0,Замоскворечье,Москва,Москва,4.5,148.0,55.733529,37.641153,branch
Пилзнер,чешская пивная,Рестораны; Бары; Доставка еды; Кафе,"улица Покровка, 15/16 ст1",1 этаж,101000.0,Басманный,Москва,Москва,4.2,91.0,55.759359,37.644902,branch
Пингвин-Клуб,кафе,Кафе,"улица Рогожский Вал, 5 ст8",,109544.0,Таганский,Москва,Москва,,,55.744063,37.679594,branch
Пион,кафе,Кафе,"Кутузовский проспект, 21","1, 2 этаж; кинотеатр Пионер",121151.0,Дорогомилово,Москва,Москва,3.9,8.0,55.745113,37.550239,branch
Пипл&Паста,паста-бар,Кафе; Доставка еды,"Цветной бульвар, 25 ст1",1 этаж,127051.0,Тверской,Москва,Москва,4.6,171.0,55.772955,37.620829,branch
Пироги Вино и Гусь,ресторан,Рестораны; Доставка еды,"Цветной бульвар, 23 ст1",1 этаж,127051.0,Тверской,Москва,Москва,4.7,107.0,55.772562,37.620833,branch
Пироговый дворик,пункт выдачи заказов,Кафе; Пекарни; Доставка еды,"Бутырская улица, 6",1 этаж,127015.0,Бутырский,Москва,Москва,5.0,2.0,55.796006,37.584986,branch
Пита&Сувлаки,греческое кафе,Кафе; Доставка еды,"Самотёчная улица, 13 ст2",,127473.0,Тверской,Москва,Москва,4.3,61.0,55.777289,37.617781,branch
Питчер паб,,Кафе; Бары,"Пятницкая улица, 82/34 ст1",1 этаж,115184.0,Замоскворечье,Москва,Москва,4.3,42.0,55.730155,37.625306,branch
Пицца Аморэ,пиццерия,Кафе; Пиццерии; Доставка еды,"Ленинский проспект, 43",1 этаж,119334.0,Гагаринский,Москва,Москва,3.8,37.0,55.705048,37.576641,branch
