title,extension,content,address,address_comment,postal,district,city,region,rating,rating_cnt,lat,lon,type
Bageatteria,кофейня,Кофейни; Кондитерские изделия,"Смоленская площадь, 5",-1 этаж,121099.0,Арбат,Москва,Москва,3.6,8.0,55.748273,37.58154,branch
Bageatteria,кофейня,Кофейни; Кондитерские изделия; Продажа кофе; Доставка еды,"Лесная улица, 20 ст3",76 отдел; 1 этаж; вход около шлагбаума,125196.0,Тверской,Москва,Москва,3.4,16.0,55.779726,37.592938,branch
Baked Coffeeshop,кофейня,Кофейни,"Большая Спасская улица, 35",1 этаж,129090.0,Красносельский,Москва,Москва,4.4,11.0,55.77689,37.646719,branch
Baron Baran,кофейня,Быстрое питание; Точки кофе; Кондитерские изделия,"Тверская улица, 25/9",,125009.0,Тверской,Москва,Москва,4.5,4.0,55.767358,37.600194,branch
Beautiful flavors,кофейня,Кофейни,"Новослободская улица, 19 ст1",1 этаж,127055.0,Тверской,Москва,Москва,5.0,11.0,55.780955,37.59928,branch
Bez Tarelok,кафе,Кофейни; Кулинарии,"Верхняя Радищевская улица, 21",1 этаж,109240.0,Таганский,Москва,Москва,4.9,19.0,55.742878,37.653565,branch
Bez Tarelok,кафе,Кофейни,"улица Покровка, 10 ст1",1 этаж,101000.0,Басманный,Москва,Москва,4.7,26.0,55.758964,37.643387,branch
Bez Tarelok,кафе,Кофейни; Кулинарии,"Новинский бульвар, 31",1 этаж,123242.0,Пресненский,Москва,Москва,4.9,19.0,55.757559,37.582718,branch
Bez Tarelok,кафе,Кофейни; Кулинарии; Доставка еды,"улица Усачёва, 26",-1 этаж,119048.0,Хамовники,Москва,Москва,5.0,14.0,55.727557,37.567383,branch
Bitter drop,кофейня,Кофейни,"Большая Сухаревская площадь, 16/18 ст1",1 этаж,107045.0,Красносельский,Москва,Москва,4.9,17.0,55.771736,37.637302,branch
Bitter drop,кофейня,Кофейни; Доставка еды,"Нижняя Сыромятническая улица, 10 ст4",1 этаж,105120.0,Басманный,Москва,Москва,4.6,41.0,55.75225,37.670436,branch
Black milk,кофейня,Кофейни,"Старосадский переулок, 6/12 ст1",1 этаж,101000.0,Басманный,Москва,Москва,4.8,15.0,55.756668,37.639361,branch
Black milk,кофейня,Кофейни,"Малый Сухаревский переулок, 9 ст1",1 этаж,127051.0,Мещанский,Москва,Москва,4.9,35.0,55.770485,37.624267,branch
Black milk,кофейня,Кофейни,"Чистопрудный бульвар, 12 к4",1 этаж,101000.0,Басманный,Москва,Москва,4.8,52.0,55.762121,37.642627,branch
BlackOut,кофейня-музей,Кофейни; Кондитерские изделия,"улица Арбат, 17",1 этаж,119002.0,Арбат,Москва,Москва,5.0,83.0,55.751073,37.596638,branch
Blisstoriya,кофейня,Кофейни,"Можайский Вал улица, 2",1 этаж,121151.0,Дорогомилово,Москва,Москва,,,55.746021,37.556521,branch
Bloom coffee & more,кофейня-пекарня,Кофейни,"Маргелова улица, 3 к3",,125284.0,Хорошёвский,Москва,Москва,5.0,7.0,55.777507,37.540825,branch
Bloom-n-brew,кофейня,Кофейни; Продажа кофе; Кондитерские изделия,"Краснопролетарская улица, 16",1 этаж,127473.0,Тверской,Москва,Москва,4.6,33.0,55.777767,37.606822,branch
Bloom-n-brew,кофейня,Кофейни; Кондитерские изделия,"Вятская улица, 27 к2",1 этаж,127015.0,Савёловский,Москва,Москва,4.1,63.0,55.7968,37.581906,branch
Bloom-n-brew,кофейня,Кофейни,"Нижняя Красносельская улица, 35 ст50",1 этаж,105066.0,Басманный,Москва,Москва,4.5,47.0,55.774688,37.673318,branch
Bo food,кофейня,Кофейни,"Боровая улица, 10 к1",1 этаж,111020.0,Лефортово,Москва,Москва,5.0,1.0,55.77136,37.713986,branch
Bodrero,кондитерская,Кофейни; Кондитерские изделия; Кафе-кондитерские,"улица Сретенка, 9",1 этаж,107045.0,Мещанский,Москва,Москва,4.6,151.0,55.767625,37.631539,branch
Bódro,экспресс-кофейня,Кофейни,"Валовая улица, 35",,115054.0,Замоскворечье,Москва,Москва,5.0,2.0,55.729573,37.626121,branch
Bodro Coffee,экспресс-кофейня,Кофейни,"Кутузовский проспект, 36 ст32",,121170.0,Дорогомилово,Москва,Москва,4.3,12.0,55.740507,37.525345,branch
Bodro Coffee,экспресс-кофейня,Кофейни,"Дербеневская набережная, 7 ст2",1 этаж,115114.0,Даниловский,Москва,Москва,5.0,3.0,55.72318,37.65513,branch
Bodro Coffee,экспресс-кофейня,Быстрое питание; Точки кофе,"Пресненская набережная, 10 ст2",-1 этаж,123112.0,Пресненский,Москва,Москва,5.0,20.0,55.747509,37.535161,branch
Bodro Coffee,экспресс-кофейня,Кофейни,"Ленинский проспект, 2а",1 этаж,119049.0,Якиманка,Москва,Москва,4.7,111.0,55.729024,37.611467,branch
