title,lat,lon,avg_price,capacity
Curry,55.749164,37.589904,1400,50
Cvc,55.762308,37.64238,1000,50
Dai viet,55.748352,37.541051,,
Dai viet,55.758739,37.552824,600,
Dark Patrick`s Pub,55.759979,37.631638,1250,70
Dark Side шаурма&гриль,55.786202,37.585958,550,40
Dark Side шаурма&гриль,55.736727,37.694526,550,10
Davno,55.763299,37.596951,900,50
Defaqto,55.766215,37.63149,1700,200
Delicatessen,55.772628,37.610912,1500,60
Dell`Arte,55.740659,37.622853,1450,43
Delulu,55.761795,37.624061,1500,69
Demokrat,55.774076,37.63979,1300,30
Demokrat,55.734023,37.636556,1000,15
Demokrat,55.778949,37.591635,1500,60
Deti lapshi,55.722302,37.651811,1050,50
Diaz Wine&Kitchen,55.761168,37.636006,1500,60
Dictatura estetica,55.740567,37.608769,750,50
Dictatura estetica wine&kitchen,55.746731,37.599174,750,30
Dinnery Crew,55.750196,37.534932,,
Dinnery Crew,55.752239,37.532883,,
Dizengof99,55.773479,37.585706,1400,66
Dizengof99,55.727962,37.623494,1250,50
Dizengof99,55.723533,37.611181,1250,30
Dizengof99,55.784689,37.656316,1250,60
Dizengof99,55.757196,37.646907,1250,52
Don Giulio,55.760049,37.648586,850,16
Don Lukas,55.757894,37.509602,,
Double bubble tea,55.779857,37.601142,,
Double duck,55.727586,37.568139,1600,
Dream bar,55.763483,37.635546,2000,120
Dream coffee,55.750231,37.539675,600,14
Drunk Punk,55.760621,37.662554,1500,40
Duckstar's,55.73641,37.670553,1500,
Dukh,55.780926,37.599305,,
Dukh,55.764793,37.60864,1700,
Dukh,55.762572,37.635609,1700,95
Dukh,55.75738,37.602206,1700,65
Dungeon Pub,55.77069,37.686443,1000,70
Eat&Talk,55.753019,37.610894,1700,200
Eden,55.759704,37.650137,1500,80
Edward`s pub,55.752568,37.667825,1150,30
Eggsellent,55.731985,37.587852,1300,50
Eggsellent,55.768896,37.592258,1400,50
Eliso Bistro,55.756658,37.588273,1450,
Encore сafe,55.749694,37.53412,2000,24
Études café,55.761512,37.651479,1750,70
Everland,55.75118,37.607186,1500,70
Ex:Libris,55.765001,37.63429,1500,60
Fab.33,55.770428,37.62578,,
Family habits,55.763884,37.580064,,
Fan Tennis,55.758115,37.676316,,
Feel Food,55.76898,37.583576,500,400
Fest,55.765056,37.608336,1150,120
Fettucciamo,55.760997,37.623469,500,
Fettucciamo,55.76091,37.632427,800,20
Fibonacci,55.776495,37.676091,800,50
Finch,55.737361,37.584866,1000,42
Finch,55.757349,37.608287,1600,
First,55.727191,37.611443,3500,80
Fito bar,55.72121,37.54861,,
Food lab,55.79683,37.640986,400,18
Forton hotel,55.730657,37.619372,1500,
Frank by Баста,55.727318,37.56772,1650,60
Frankie,55.730449,37.625468,1300,30
Fresh,55.77334,37.666076,300,150
Friends forever,55.757949,37.597,2000,40
Friends Forever Botanica,55.778097,37.633036,2000,35
from Berlin,55.773255,37.619339,1550,85
Fruits&Veges,55.752721,37.66842,1000,20
Gabbiano,55.736579,37.596233,,
Gabo,55.733444,37.569159,500,40
Gagawa,55.744464,37.567396,,
Gagawa,55.749439,37.53914,1200,50
Geely cafe,55.796823,37.598818,450,40
Geisha Superman,55.759001,37.598901,2000,50
Gemopuri,55.738771,37.610637,1500,37
Gentalion,55.77314,37.588929,2000,18
Georgian House,55.748918,37.538284,1150,40
Georgiano,55.707153,37.572719,2000,100
Gg group,55.787343,37.67777,2000,58
Gg group,55.753194,37.589132,1000,100
Gg group,55.728242,37.614928,1500,150
Gg group,55.762953,37.619842,2500,170
Giraffe,55.753878,37.662717,750,50
Glastonberry,55.722755,37.673643,1500,100
Golden monkey,55.744672,37.629702,1200,
