house_id,lat,lon,price_per_m2,building_type,object_type,levels,ads_count
588628.0,55.857392,37.472459,257679.60452465244,3,0,5,2
588704.0,55.7706001,37.624058,747835.29985531,0,0,8,9
588747.0,55.7951067,37.8180664,195214.10579345087,1,0,5,1
588788.0,55.868425,37.664851,297529.96207424963,5,0,12,5
588815.0,55.796955,37.56689,304301.6909169,0,0,9,8
588885.0,55.7943016,37.6851001,318181.8181818182,4,0,5,1
589012.0,55.8443953,37.4278994,258064.51612903227,4,0,5,1
589099.0,55.6333206,37.6014407,226666.66666666666,2,0,9,1
589099.0,55.633363,37.601412,298742.1383647799,0,0,9,1
589169.0,55.6619171,37.6454492,256988.1782425988,2,0,12,16
589231.0,55.797574,37.569468,193121.9196137068,6,0,5,14
589255.0,55.7640047,37.6695068,473684.2105263158,3,0,5,4
589255.0,55.764046,37.669514,469469.77240398293,0,0,5,8
589341.0,55.628534,37.5911652,246453.75391535927,3,0,12,3
589471.0,55.88793,37.617294,228759.7999346419,0,0,12,8
589517.0,55.777798,37.516197,304512.0070745247,0,0,8,13
589599.0,55.77325,37.6812,251364.5358538578,0,0,3,6
589673.0,55.87288,37.512982,251612.90322580645,3,0,4,1
589705.0,55.86798,37.48579,283606.5732524687,0,0,12,10
589758.0,55.8308024,37.6614213,238452.20458553793,0,0,14,3
589828.0,55.7503,37.648952,1310485.757256236,0,0,6,2
589828.0,55.7503664,37.6489475,930569.7412908816,0,0,6,17
589832.0,55.8034639,37.5434663,295784.69842091826,0,0,5,5
589956.0,55.7875373,37.6162304,318949.34333958727,0,0,16,1
589956.0,55.787553,37.616144,290569.248029311,0,0,16,29
589980.0,55.7766612,37.6345358,373407.9619706764,4,0,8,3
589989.0,55.861047,37.6097996,258779.09418437938,0,0,12,16
589991.0,55.740142,37.476133,224014.33691756273,0,0,5,1
590049.0,55.803913,37.772728,226150.65484303798,0,0,5,7
590050.0,55.722843,37.425476,251690.38496624702,2,0,5,5
590050.0,55.7228561,37.4255157,230689.6551724138,0,0,5,3
590099.0,55.784805,37.656666,350030.59660645865,0,0,8,5
590231.0,55.8148197,37.6427478,331817.1275947729,5,0,14,15
590422.0,55.6785964,37.4458649,258837.88402025844,0,0,18,6
