address,lat,lon,year,total_apartments,inhab_count,under_24_num,between_25_34_num,between_35_44_num,between_45_54_num,between_55_64_num,over_65_num,men_num,women_num,with_children_num,with_pets_num,with_car_num,median_income_pop,avg_hcs_cost_pop
"Россия, Москва, Полярная улица, 22 к2",55.880146,37.640151,1966.0,138.0,325.0684210526316,29.64624,65.30624578947369,98.33319736842105,63.8759447368421,46.6798252631579,21.22696789473684,130.1899026315789,194.8785184210527,113.3513584210526,73.49797000000001,116.7645768421053,35920710.6631579,3328375.563157895
"Россия, Москва, Просторная улица, 10 к2",55.804486,37.719172,1965.0,139.0,315.9755980861244,33.80938899521531,64.61700980861244,91.50653320574163,65.7861195215311,37.06393765550239,23.16101133971292,137.3861900478469,178.5894080382776,81.64809454545455,61.14127822966508,115.5838737799043,32238358.3215311,2980281.841148326
"Россия, Москва, Союзный проспект, 22",55.748392,37.819999,2003.0,139.0,1.0,0.1505,0.2586,0.2899,0.194,0.0702,0.0368,0.5897,0.4103,0.233,0.214,0.3077,89150.0,9365.0
"Россия, Москва, Зеленодольская улица, 24",55.711945,37.775448,1964.0,139.0,315.9755980861244,33.01945,66.60765607655502,92.42286244019141,63.38470497607656,38.13825468899522,22.43426746411483,160.3260184688995,155.6495796172249,87.1460699521531,66.44966827751198,116.184227416268,29566468.66411483,3055168.057894737
"Россия, Москва, улица 26 Бакинских Комиссаров, 1 к1",55.65608,37.491852,1968.0,139.0,325.0684210526316,71.05995684210527,63.68090368421053,70.83240894736842,63.32332842105264,34.97736210526316,21.19446105263158,157.9832526315789,167.0851684210527,81.94974894736842,63.19330105263159,110.1656878947369,37533050.03157895,3114805.610526316
"Россия, Москва, Малая Сухаревская площадь, 3 / улица Щепкина, 2",55.773592,37.629669,1951.0,139.0,259.0,47.1121,66.2004,65.7083,45.7653,23.5949,10.5931,105.3094,153.6906,63.99890000000001,57.3944,81.2224,32036746.0,2637656.0
"Россия, Москва, Гарибальди улица, 6 к1",55.676193,37.536522,2010.0,139.0,265.0,31.3495,48.707,74.78299999999999,54.7755,33.337,22.0745,123.331,141.669,75.41900000000001,61.003,105.8145,30862695.0,2691340.0
"Россия, Москва, Университетский проспект, 23 к1",55.715177,37.519377,1962.0,139.0,315.9755980861244,33.80938899521531,54.56898578947369,86.73530167464116,70.02019253588517,42.68830330143541,28.12182822966507,169.8368839712919,146.1387141148325,73.62231435406699,56.02247354066986,148.9508969377991,42936976.09712919,4472318.615311005
"Россия, Москва, Подольских Курсантов улица, 14 к1",55.607209,37.619531,1972.0,139.0,318.2488038277513,56.87106124401916,71.16043253588518,85.70440287081341,63.90435980861244,30.8383090909091,9.770238277511963,181.433643062201,136.8151607655503,71.92422966507179,55.62989090909092,101.7441425837321,25174753.37799044,2814274.172248804
"Россия, Москва, Ивантеевская улица, 5 к1",55.820702,37.718282,2010.0,139.0,606.0,54.9036,69.8718,144.7734,160.7112,110.8374,64.9026,262.095,343.905,156.7116,112.2918,225.129,52350522.0,4621356.0
"Россия, Москва, Открытое шоссе, 21 к13",55.82549,37.758824,1967.0,139.0,318.2488038277513,47.13264784688997,63.10873779904306,92.83317607655505,62.79048899521533,36.63043732057417,15.75331578947369,163.7071846889952,154.541619138756,77.36628421052633,55.12069282296652,105.8177272727273,27332798.51674642,2704796.583732058
"Россия, Москва, Рижский проезд, 17",55.820021,37.665673,1959.0,139.0,315.9755980861244,61.04648555023924,57.60235153110048,79.62585071770336,57.60235153110048,37.12713277511962,22.97142598086124,171.5115546411483,144.4640434449761,61.67843674641149,59.78258315789474,115.8050566985646,29130738.31435407,2708542.826794258
"Россия, Москва, Фестивальная улица, 28",55.860721,37.502902,1976.0,139.0,325.0684210526316,32.66937631578948,60.23517842105264,85.98059736842106,73.01036736842106,46.93988,26.26552842105264,155.3827052631579,169.6857157894737,85.3304605263158,84.84285789473687,137.9915447368421,38376927.65263158,3487008.952631579
"Россия, Москва, шоссе Энтузиастов, 86а к2",55.763699,37.798188,2018.0,139.0,315.9755980861244,16.58871889952153,42.11954722488039,90.65339909090909,73.71710703349282,60.9516928708134,31.91353540669856,112.0133495215311,203.9622485645933,94.16072822966507,70.8417290909091,142.6629825358852,40323541.92535885,3512068.772727273
"Россия, Москва, Просторная улица, 10 к1",55.805413,37.719233,1966.0,139.0,315.9755980861244,33.80938899521531,64.61700980861244,91.50653320574163,65.7861195215311,37.06393765550239,23.16101133971292,137.3861900478469,178.5894080382776,81.64809454545455,61.14127822966508,115.5838737799043,32238358.3215311,2980281.841148326
"Россия, Москва, квартал 3-й Капотня, 17",55.634276,37.798255,1970.0,139.0,327.3416267942584,29.03520229665072,48.6429657416268,104.618383923445,89.75707406698568,34.23993416267944,21.01533244019139,167.4352421052632,159.9063846889952,87.85849263157897,65.66473033492824,146.9109221052632,30061418.29665072,2945419.957894737
"Россия, Москва, улица Константина Царёва, 18",55.813288,37.497692,1965.0,139.0,327.3416267942584,192.1495349282297,53.78222928229665,37.15327464114833,26.87474755980862,11.84976688995216,5.532073492822967,230.0884294736843,97.25319732057419,41.11410832535886,39.54286851674642,99.61005703349285,23655342.66028709,1739493.404784689
