club_key,green_pct
athleticcraft_вернадскогопроспект94к7,2.273066
athleticcraft_проспектвернадского86ст9,0.653171
athleticcraft_проспектвернадского94к7,2.273066
athleticscorp_измайловскийпроезд5а,1.873464
athleticscorpsokolniki_улицастромынка4ст1,16.398565
atletic_пролетарскийпроспект24,0.0
atmosfera_пятницкаяулица71/5ст2,0.125707
atmosfera_пятницкаяулица71/5ст6,0.125707
atomofitness_тверскаяулица12ст1,2.509362
aura_улицабольшоепонизовье3,0.0
aurora_улицапетровка11,1.145666
avhimteam_шарикоподшипниковскаяулица11ст5,4.662419
bagdasarini_улицаспиридоновка19,2.816476
balance_3йсамотёчныйпереулок2,24.418512
balance_бескудниковскийбульвар3,5.057115
balancebloom_садовническаяулица54ст1,2.43468
balletbodystretch_лобненскаяулица4а,1.898359
balletekaterina_ленинскийпроспект95б,9.394259
bamboodancefitness_улицаюности3ст1,49.219127
bandabox_ленинскийпроспект123в,18.378345
bangbangclub_автозаводскаяулица18,0.0
baraccudacoach_лазоревыйпроезд1ак3,14.35336
bargym_столярныйпереулок3к13,2.037991
bargym_улицакосыгина28к2,78.103782
bargym_улицамашипорываевой34,1.26748
bargym_электролитныйпроезд3ст1,2.716624
bars_улицагорчакова11,44.565575
barsgym_улицабрусилова41,44.102536
basetraining_проспектвернадского29,1.267219
bashirclub_улицаиванабабушкина15к4,10.128565
basipilates3_улицальватолстого23/7кб,3.261565
basipilatesmoscow_2ячерногрязскаяулица6к1,0.175782
basipilatesmoscow_большаясадоваяулица5к2,0.396685
basovteam_профсоюзнаяулица25к1,1.810609
basovteam_профсоюзнаяулица64/66,0.023635
battleway_улицаадмираларуднева4,44.565575
bazafitnessclub_малаяюшуньскаяулица3ст5,0.0
bazajiujitsu_посёлокподсобногохозяйствавоскресенское40к3,0.0
beautygym_нижегородскаяулица11,0.0
beautyролл_улицаалександрымонаховой84к4,0.0
befit_петровскийбульвар5ст1,3.470239
befitt_воротынскаяулица18,0.0
beflex_малаячеркизовскаяулица14,2.069426
beflex_улицамалаячеркизовская14,2.069426
berestovteam_госпитальнаяулица2,16.901753
berimbola_мосфильмовскаяулица1а,0.0
bestathlete_ботаническаяулица2ст1,14.004826
bestathlete_улицаботаническая2ст1,14.004826
bestfire_улицараменки3,9.833176
bestgym_1ямясниковскаяулица18,0.782504
bestgym_3ябогатырскаяулица1к1,1.10002
bestlifestudio_улицаткацкая11,1.004887
bestretch_2йгончарныйпереулок3,0.129935
bestretch_3ямытищинскаяулица3ст1,0.621291
bestretch_улицаобразцова14,9.902922
beyoga_улицаарбат6/2,1.441362
biohackingfitness_проспектвернадского101к3,1.762525
bionica_профсоюзнаяулица76,0.0
biosfera_малаякалужскаяулица15ст4,15.206677
blackbelt_улицахабарова2,7.430038
blackfox_симферопольскоешоссе7,0.0
blackpanther_улицаархитекторащусева3,2.442596
blackpantherstudio_улицаархитекторащусева3,2.442596
blackswordfighters_2йкожуховскийпроезд29к2ст16,0.970826
blissko_белореченскаяулица3,9.565872
bloomgym_2япугачёвскаяулица10к1,13.076759
bobo_улицапетровка24ст5,1.145666
bodyclass_малаяникитскаяулица16/5,2.816476
bodyclass_улицамалаяникитская16/5,2.816476
bodycontrology_профсоюзнаяулица68к2,0.023635
bodyes_улицаборисагалушкина3,1.818344
bodyforming_брянскаяулица5,0.74679
bodyhacker_мытнаяулица52,2.676008
bodylightfili_заречнаяулица1к1,2.823209
bodylogika_павелецкаянабережная2ст2,0.0
bodymania_улицабольшаямолчановка23ст2,0.686913
bodymaniafitness_улицабольшаямолчановка23ст2,0.686913
bodymind_большаясерпуховскаяулица46ст34,1.945083
bodymind_улицащепкина60/2ст2,0.287228
bodyrevolution_улицабольшаягрузинская20,4.916323
bogaterra_улицагарибальди6к1,8.512017
boho_улицаалександрымонаховой88к1,0.0
bohofitnessstudio_улицаалександрымонаховой88к1,0.0
boomfit_3ймикрорайон1б,22.515091
boostbalance_новотушинскийпроезд10к2,0.0472
bootybombdance_кировоградскаяулица11к1,1.783646
borisboxing_улицасущёвскийвал56а,24.692401
botanicfitness_проездсеребрякова1/2,8.023619
boxbro_улицаархитекторащусева1,17.674783
boxeogym_дубининскаяулица68ст13,1.02274
boxing80_улицараменки19ст1,9.833176
boxing80_улицараменки5,9.833176
boxingfit_большойбульвар30ст1,0.0
boxingguruclub_угловойпереулок2,2.1543
boxingtime_улицаэлектрозаводская58,4.4535
bravebodypilates_2ярыбинскаяулица13,2.026469
